Region,Coverage
CHP2_MPL_1.1,837
CHP2_NRAS_3.1,3118
CHP2_NRAS_2.1,2007
CHP2_NRAS_1.1,3158
CHP2_ALK_2.1,651
CHP2_ALK_1.1,1354
CHP2_IDH1_1.1,2889
CHP2_ERBB4_8.1,2964
CHP2_ERBB4_7.1,626
CHP2_ERBB4_6.1,4722
CHP2_ERBB4_5.1,3231
CHP2_ERBB4_4.1,2390
CHP2_ERBB4_3.1,633
CHP2_ERBB4_2.1,3951
CHP2_ERBB4_1.1,2804
CHP2_VHL_1.1,430
CHP2_VHL_2.1,2787
CHP2_VHL_3.1,3633
CHP2_MLH1_1.1,3754
CHP2_CTNNB1_1.1,1074
CHP2_PIK3CA_1.1,2772
CHP2_PIK3CA_2.1,1629
CHP2_PIK3CA_3.1,3107
CHP2_PIK3CA_4.1,1604
CHP2_PIK3CA_5.1,1560
CHP2_PIK3CA_6.1,1554
CHP2_PIK3CA_7.1,3619
CHP2_PIK3CA_8.1,2016
CHP2_PIK3CA_9.1,5687
CHP2_PIK3CA_10.1,2623
CHP2_PIK3CA_11.1,2747
CHP2_FGFR3_1.1,745
CHP2_FGFR3_2.1,352
CHP2_FGFR3_3.1,1302
CHP2_FGFR3_4.1,2174
CHP2_FGFR3_5.1,2030
CHP2_PDGFRA_1.1,1853
CHP2_PDGFRA_2.1,4400
CHP2_PDGFRA_3.1,2402
CHP2_PDGFRA_4.1,2773
CHP2_KIT_1.1,3044
CHP2_KIT_2.1,3504
CHP2_KIT_3.1,2755
CHP2_KIT_4.1,4240
CHP2_KIT_5.1,2098
CHP2_KIT_6.1,4867
CHP2_KIT_7.1,2672
CHP2_KIT_8.1,3845
CHP2_KIT_9.1,4961
CHP2_KDR_9.1,1188
CHP2_KDR_8.1,4167
CHP2_KDR_7.1,3621
CHP2_KDR_6.1,5210
CHP2_KDR_5.1,6164
CHP2_KDR_4.1,2788
CHP2_KDR_3.1,1842
CHP2_KDR_2.1,1285
CHP2_KDR_1.1,2429
CHP2_FBXW7_5.1,3418
CHP2_FBXW7_4.1,3690
CHP2_FBXW7_3.1,2928
CHP2_FBXW7_2.1,3476
CHP2_FBXW7_1.1,2359
CHP2_APC_1.1,2907
CHP2_APC_2.1,2790
CHP2_APC_3.1,2777
CHP2_APC_4.1,3064
CHP2_APC_5.1,1403
CHP2_APC_6.1,3806
CHP2_APC_7.1,1293
CHP2_CSF1R_2.1,633
CHP2_CSF1R_1.1,1928
CHP2_NPM1_1.1,2745
CHP2_EGFR_1.1,2198
CHP2_EGFR_2.1,2038
CHP2_EGFR_3.1,5511
CHP2_EGFR_4.1,932
CHP2_EGFR_5.1,2218
CHP2_EGFR_6.1,720
CHP2_EGFR_7.1,2335
CHP2_EGFR_8.1,2434
CHP2_MET_1.1,3859
CHP2_MET_2.1,2102
CHP2_MET_3.1,1750
CHP2_MET_4.1,3054
CHP2_MET_5.1,3016
CHP2_MET_6.1,1840
CHP2_SMO_1.1,2930
CHP2_SMO_2.1,1166
CHP2_SMO_3.1,1522
CHP2_SMO_4.1,1472
CHP2_SMO_5.1,2113
CHP2_BRAF_2.1,2764
CHP2_BRAF_1.1,3386
CHP2_EZH2_1.1,2990
CHP2_FGFR1_2.1,2210
CHP2_FGFR1_1.1,1141
CHP2_JAK2_1.1,2109
CHP2_CDKN2A_2.1,674
CHP2_CDKN2A_1.1,1067
CHP2_GNAQ_1.1,2070
CHP2_ABL1_1.1,4981
CHP2_ABL1_2.1,3775
CHP2_ABL1_3.1,2530
CHP2_ABL1_4.1,1691
CHP2_NOTCH1_3.1,708
CHP2_NOTCH1_2.1,2468
CHP2_NOTCH1_1.1,442
CHP2_RET_1.1,2151
CHP2_RET_2.1,677
CHP2_RET_3.1,1848
CHP2_RET_4.1,1110
CHP2_RET_5.1,2470
CHP2_PTEN_1.1,1078
CHP2_PTEN_2.1,3655
CHP2_PTEN_3.1,2272
CHP2_PTEN_4.1,2134
CHP2_PTEN_5.1,2893
CHP2_PTEN_6.1,2628
CHP2_PTEN_7.1,7435
CHP2_PTEN_8.1,3153
CHP2_FGFR2_4.1,3353
CHP2_FGFR2_3.1,989
CHP2_FGFR2_2.1,3138
CHP2_FGFR2_1.1,2316
CHP2_HRAS_2.1,534
CHP2_HRAS_1.1,573
CHP2_ATM_1.1,2738
CHP2_ATM_2.1,4574
CHP2_ATM_3.1,4255
CHP2_ATM_4.1,2764
CHP2_ATM_5.1,3188
CHP2_ATM_6.1,2743
CHP2_ATM_7.1,5045
CHP2_ATM_8.1,5478
CHP2_ATM_9.1,2134
CHP2_ATM_10.1,3067
CHP2_ATM_11.1,4935
CHP2_ATM_12.1,5125
CHP2_ATM_13.1,4138
CHP2_ATM_14.1,2457
CHP2_ATM_15.1,2757
CHP2_ATM_16.1,1958
CHP2_ATM_17.1,1081
CHP2_KRAS_3.1,3521
CHP2_KRAS_2.1,3286
CHP2_KRAS_1.1,2516
CHP2_PTPN11_1.1,3683
CHP2_PTPN11_2.1,3038
CHP2_HNF1A_1.1,2247
CHP2_HNF1A_2.1,3627
CHP2_FLT3_4.1,3115
CHP2_FLT3_3.1,3490
CHP2_FLT3_2.1,2866
CHP2_FLT3_1.1,4547
CHP2_RB1_1.1,3467
CHP2_RB1_2.1,2616
CHP2_RB1_3.1,2326
CHP2_RB1_4.1,1523
CHP2_RB1_5.1,2617
CHP2_RB1_6.1,4228
CHP2_RB1_7.1,3225
CHP2_RB1_8.1,2979
CHP2_RB1_9.1,3863
CHP2_RB1_10.1,2870
CHP2_AKT1_2.1,1570
CHP2_AKT1_1.1,689
CHP2_IDH2_1.1,2397
CHP2_CDH1_1.1,3206
CHP2_CDH1_2.1,2604
CHP2_CDH1_3.1,3766
CHP2_TP53_8.1,2131
CHP2_TP53_7.1,1791
CHP2_TP53_6.1,4138
CHP2_TP53_5.1,2303
CHP2_TP53_4.1,3300
CHP2_TP53_3.1,2348
CHP2_TP53_2.1,1469
CHP2_TP53_1.1,3712
CHP2_ERBB2_1.1,2904
CHP2_ERBB2_2.1,1915
CHP2_ERBB2_3.1,1511
CHP2_SMAD4_1.1,2726
CHP2_SMAD4_2.1,1881
CHP2_SMAD4_3.1,2005
CHP2_SMAD4_4.1,2756
CHP2_SMAD4_5.1,2347
CHP2_SMAD4_6.1,3278
CHP2_SMAD4_7.1,1447
CHP2_SMAD4_8.1,3968
CHP2_SMAD4_9.1,1528
CHP2_STK11_1.1,2631
CHP2_STK11_2.1,460
CHP2_STK11_3.1,1073
CHP2_STK11_4.1,1885
CHP2_STK11_5.1,1657
CHP2_GNA11_1.1,1135
CHP2_JAK3_3.1,2287
CHP2_JAK3_2.1,1822
CHP2_JAK3_1.1,2326
CHP2_SRC_1.1,2958
CHP2_GNAS_1.1,1135
CHP2_GNAS_2.1,3480
CHP2_SMARCB1_1.1,2257
CHP2_SMARCB1_2.1,467
CHP2_SMARCB1_3.1,3137
CHP2_SMARCB1_4.1,1009
